track_id,label_id,bbox_id,xmin,ymin,xmax,ymax,filename,tray_id
5237,ACHMI,1459928,330,1599,351,1621,ACHMI/133801/ACHMI_133801_2021Y07M28D_00H49M09S_img,133801
5238,SOLNI,1459934,428,772,443,786,ACHMI/133801/ACHMI_133801_2021Y07M28D_00H49M09S_img,133801
5237,ACHMI,1459929,329,1594,361,1619,ACHMI/133801/ACHMI_133801_2021Y07M28D_12H56M28S_img,133801
5238,SOLNI,1459935,428,773,443,788,ACHMI/133801/ACHMI_133801_2021Y07M28D_12H56M28S_img,133801
5237,ACHMI,1459930,336,1599,356,1623,ACHMI/133801/ACHMI_133801_2021Y07M29D_01H16M32S_img,133801
5238,SOLNI,1459936,429,775,444,790,ACHMI/133801/ACHMI_133801_2021Y07M29D_01H16M32S_img,133801
5239,SOLNI,1459965,1881,1122,1896,1135,ACHMI/133801/ACHMI_133801_2021Y07M29D_01H16M32S_img,133801
5240,SOLNI,1459994,406,1542,423,1557,ACHMI/133801/ACHMI_133801_2021Y07M29D_01H16M32S_img,133801
5237,ACHMI,1459931,330,1595,357,1620,ACHMI/133801/ACHMI_133801_2021Y07M30D_00H27M04S_img,133801
5238,SOLNI,1459937,427,778,442,792,ACHMI/133801/ACHMI_133801_2021Y07M30D_00H27M04S_img,133801
5239,SOLNI,1459966,1880,1120,1900,1138,ACHMI/133801/ACHMI_133801_2021Y07M30D_00H27M04S_img,133801
5240,SOLNI,1459995,403,1541,426,1564,ACHMI/133801/ACHMI_133801_2021Y07M30D_00H27M04S_img,133801
5237,ACHMI,1459932,318,1576,361,1614,ACHMI/133801/ACHMI_133801_2021Y07M30D_13H46M14S_img,133801
5238,SOLNI,1459938,433,764,447,779,ACHMI/133801/ACHMI_133801_2021Y07M30D_13H46M14S_img,133801
5239,SOLNI,1459967,1858,1105,1924,1159,ACHMI/133801/ACHMI_133801_2021Y07M30D_13H46M14S_img,133801
5240,SOLNI,1459996,386,1521,456,1556,ACHMI/133801/ACHMI_133801_2021Y07M30D_13H46M14S_img,133801
5241,ACHMI,1460023,1083,824,1103,847,ACHMI/133801/ACHMI_133801_2021Y07M30D_13H46M14S_img,133801
5238,SOLNI,1459939,431,775,447,794,ACHMI/133801/ACHMI_133801_2021Y08M02D_12H38M24S_img,133801
5239,SOLNI,1459968,1838,1085,1937,1170,ACHMI/133801/ACHMI_133801_2021Y08M02D_12H38M24S_img,133801
5240,SOLNI,1459997,350,1498,490,1561,ACHMI/133801/ACHMI_133801_2021Y08M02D_12H38M24S_img,133801
5241,ACHMI,1460024,1072,832,1114,867,ACHMI/133801/ACHMI_133801_2021Y08M02D_12H38M24S_img,133801
5242,ACHMI,1460044,935,554,966,590,ACHMI/133801/ACHMI_133801_2021Y08M02D_12H38M24S_img,133801
5243,ACHMI,1460110,966,1131,992,1173,ACHMI/133801/ACHMI_133801_2021Y08M02D_12H38M24S_img,133801
5244,ACHMI,1460157,588,1426,627,1451,ACHMI/133801/ACHMI_133801_2021Y08M02D_12H38M24S_img,133801
5245,ACHMI,1460171,938,1297,967,1314,ACHMI/133801/ACHMI_133801_2021Y08M02D_12H38M24S_img,133801
5246,ACHMI,1460185,816,1429,836,1450,ACHMI/133801/ACHMI_133801_2021Y08M02D_12H38M24S_img,133801
5247,ACHMI,1460199,877,1472,912,1499,ACHMI/133801/ACHMI_133801_2021Y08M02D_12H38M24S_img,133801
5248,ACHMI,1460213,546,1647,593,1681,ACHMI/133801/ACHMI_133801_2021Y08M02D_12H38M24S_img,133801
5249,ACHMI,1460227,763,1621,801,1650,ACHMI/133801/ACHMI_133801_2021Y08M02D_12H38M24S_img,133801
5250,ACHMI,1460229,777,499,794,516,ACHMI/133801/ACHMI_133801_2021Y08M02D_12H38M24S_img,133801
5238,SOLNI,1459940,435,774,452,787,ACHMI/133801/ACHMI_133801_2021Y08M03D_12H53M20S_img,133801
5239,SOLNI,1459969,1830,1083,1944,1182,ACHMI/133801/ACHMI_133801_2021Y08M03D_12H53M20S_img,133801
5240,SOLNI,1459998,353,1491,511,1562,ACHMI/133801/ACHMI_133801_2021Y08M03D_12H53M20S_img,133801
5241,ACHMI,1460025,1074,831,1116,867,ACHMI/133801/ACHMI_133801_2021Y08M03D_12H53M20S_img,133801
5242,ACHMI,1460045,936,554,969,592,ACHMI/133801/ACHMI_133801_2021Y08M03D_12H53M20S_img,133801
5243,ACHMI,1460111,969,1132,995,1176,ACHMI/133801/ACHMI_133801_2021Y08M03D_12H53M20S_img,133801
5244,ACHMI,1460158,588,1426,632,1453,ACHMI/133801/ACHMI_133801_2021Y08M03D_12H53M20S_img,133801
5245,ACHMI,1460172,942,1299,973,1318,ACHMI/133801/ACHMI_133801_2021Y08M03D_12H53M20S_img,133801
5246,ACHMI,1460186,821,1430,841,1451,ACHMI/133801/ACHMI_133801_2021Y08M03D_12H53M20S_img,133801
5247,ACHMI,1460200,880,1475,916,1501,ACHMI/133801/ACHMI_133801_2021Y08M03D_12H53M20S_img,133801
5248,ACHMI,1460214,550,1648,599,1686,ACHMI/133801/ACHMI_133801_2021Y08M03D_12H53M20S_img,133801
5250,ACHMI,1460230,780,496,798,518,ACHMI/133801/ACHMI_133801_2021Y08M03D_12H53M20S_img,133801
5251,SOLNI,1460243,1244,910,1300,931,ACHMI/133801/ACHMI_133801_2021Y08M03D_12H53M20S_img,133801
5238,SOLNI,1459941,430,775,446,793,ACHMI/133801/ACHMI_133801_2021Y08M04D_01H20M29S_img,133801
5239,SOLNI,1459970,1848,1102,1910,1156,ACHMI/133801/ACHMI_133801_2021Y08M04D_01H20M29S_img,133801
5240,SOLNI,1459999,373,1500,469,1564,ACHMI/133801/ACHMI_133801_2021Y08M04D_01H20M29S_img,133801
